dataproduct_type,dataproduct_subtype,facility_name,calib_level,target_name,obs_id,obs_collection,obs_publisher_did,access_url,access_format,s_resolution,s_xel1,s_xel2,t_xel,t_min,t_max,t_exptime,t_resolution,em_xel,em_min,em_max,em_res_power,em_filter_name,o_ucd,pol_xel,instrument_name,lsst_visit,lsst_detector,lsst_tract,lsst_patch,lsst_band,lsst_filter,obs_title,s_ra,s_dec,s_fov,s_region
image,lsst.deep_coadd,Rubin:Simonyi,3,,lsst_cells_v2-5063-56,LSST.DP2,ivo://org.rubinobs/usdac/lsst-dp2?repo=dp2&id=019ed8bf-a61c-74fe-b709-7323fb7e5424,https://data.lsst.cloud/api/datalink/links?ID=ivo%3A%2F%2Forg.rubinobs%2Flsst-dp2%3Frepo%3Ddp2%26id%3D019ed8bf-a61c-74fe-b709-7323fb7e5424,application/x-votable+xml;content=datalink,,3300,3300,,,,,,,6.936e-07,8.188e-07,,i,phot.flux.density,,LSSTCam,,,5063,56,i,,deep_coadd - i - tract=5063 patch=56,52.805844645638196,-27.437017166120366,0.2592691549096325,POLYGON ICRS 52.702242 -27.528436 52.908978 -27.528853 52.909275 -27.345521 52.702883 -27.345107
image,lsst.deep_coadd,Rubin:Simonyi,3,,lsst_cells_v2-5063-57,LSST.DP2,ivo://org.rubinobs/usdac/lsst-dp2?repo=dp2&id=019ed8bf-91c5-7247-bdbb-a08cfbe2df6e,https://data.lsst.cloud/api/datalink/links?ID=ivo%3A%2F%2Forg.rubinobs%2Flsst-dp2%3Frepo%3Ddp2%26id%3D019ed8bf-91c5-7247-bdbb-a08cfbe2df6e,application/x-votable+xml;content=datalink,,3300,3300,,,,,,,6.936e-07,8.188e-07,,i,phot.flux.density,,LSSTCam,,,5063,57,i,,deep_coadd - i - tract=5063 patch=57,52.618063597116226,-27.436513750057404,0.25926352408504916,POLYGON ICRS 52.514309 -27.527791 52.721036 -27.528486 52.721646 -27.345157 52.515263 -27.344468
image,lsst.deep_coadd,Rubin:Simonyi,3,,lsst_cells_v2-5063-58,LSST.DP2,ivo://org.rubinobs/usdac/lsst-dp2?repo=dp2&id=019ed8be-fc91-7909-9377-e0e790727d33,https://data.lsst.cloud/api/datalink/links?ID=ivo%3A%2F%2Forg.rubinobs%2Flsst-dp2%3Frepo%3Ddp2%26id%3D019ed8be-fc91-7909-9377-e0e790727d33,application/x-votable+xml;content=datalink,,3300,3300,,,,,,,6.936e-07,8.188e-07,,i,phot.flux.density,,LSSTCam,,,5063,58,i,,deep_coadd - i - tract=5063 patch=58,52.43029263414903,-27.435758699159642,0.2592546034232252,POLYGON ICRS 52.326388 -27.526894 52.533101 -27.527867 52.534024 -27.344543 52.327655 -27.343578
image,lsst.deep_coadd,Rubin:Simonyi,3,,lsst_cells_v2-5063-59,LSST.DP2,ivo://org.rubinobs/usdac/lsst-dp2?repo=dp2&id=019ed8bf-e582-7c7f-8d37-5b0a65ea5a85,https://data.lsst.cloud/api/datalink/links?ID=ivo%3A%2F%2Forg.rubinobs%2Flsst-dp2%3Frepo%3Ddp2%26id%3D019ed8bf-e582-7c7f-8d37-5b0a65ea5a85,application/x-votable+xml;content=datalink,,3300,3300,,,,,,,6.936e-07,8.188e-07,,i,phot.flux.density,,LSSTCam,,,5063,59,i,,deep_coadd - i - tract=5063 patch=59,52.24253578886361,-27.4347520760816,0.2592423938465974,POLYGON ICRS 52.138483 -27.525745 52.345179 -27.526995 52.346415 -27.343678 52.140063 -27.342437
image,lsst.deep_coadd,Rubin:Simonyi,3,,lsst_cells_v2-5063-61,LSST.DP2,ivo://org.rubinobs/usdac/lsst-dp2?repo=dp2&id=019ed8bf-3bec-7ac1-af16-ec897b2a5711,https://data.lsst.cloud/api/datalink/links?ID=ivo%3A%2F%2Forg.rubinobs%2Flsst-dp2%3Frepo%3Ddp2%26id%3D019ed8bf-3bec-7ac1-af16-ec897b2a5711,application/x-votable+xml;content=datalink,,3300,3300,,,,,,,6.936e-07,8.188e-07,,i,phot.flux.density,,LSSTCam,,,5063,61,i,,deep_coadd - i - tract=5063 patch=61,53.74376627796853,-27.269105396262407,0.25925475255271196,POLYGON ICRS 53.641112 -27.361209 53.847513 -27.360243 53.846250 -27.176930 53.640192 -27.177888
image,lsst.deep_coadd,Rubin:Simonyi,3,,lsst_cells_v2-5063-62,LSST.DP2,ivo://org.rubinobs/usdac/lsst-dp2?repo=dp2&id=019ed8bf-2785-7a45-83eb-9efc814cf4a8,https://data.lsst.cloud/api/datalink/links?ID=ivo%3A%2F%2Forg.rubinobs%2Flsst-dp2%3Frepo%3Ddp2%26id%3D019ed8bf-2785-7a45-83eb-9efc814cf4a8,application/x-votable+xml;content=datalink,,3300,3300,,,,,,,6.936e-07,8.188e-07,,i,phot.flux.density,,LSSTCam,,,5063,62,i,,deep_coadd - i - tract=5063 patch=62,53.55627919511586,-27.26985498874355,0.259262575217745,POLYGON ICRS 53.453462 -27.361824 53.659876 -27.361134 53.658925 -27.177813 53.452854 -27.178498
image,lsst.deep_coadd,Rubin:Simonyi,3,,lsst_cells_v2-5063-63,LSST.DP2,ivo://org.rubinobs/usdac/lsst-dp2?repo=dp2&id=019ed8be-fad2-7b35-a72e-e311af1b4e0f,https://data.lsst.cloud/api/datalink/links?ID=ivo%3A%2F%2Forg.rubinobs%2Flsst-dp2%3Frepo%3Ddp2%26id%3D019ed8be-fad2-7b35-a72e-e311af1b4e0f,application/x-votable+xml;content=datalink,,3300,3300,,,,,,,6.936e-07,8.188e-07,,i,phot.flux.density,,LSSTCam,,,5063,63,i,,deep_coadd - i - tract=5063 patch=63,53.368782073733904,-27.270354737699044,0.25926710825962695,POLYGON ICRS 53.265805 -27.362187 53.472228 -27.361773 53.471588 -27.178448 53.265508 -27.178858
image,lsst.deep_coadd,Rubin:Simonyi,3,,lsst_cells_v2-5063-64,LSST.DP2,ivo://org.rubinobs/usdac/lsst-dp2?repo=dp2&id=019ed8bf-fc67-7a99-9835-59da0eb9b2a9,https://data.lsst.cloud/api/datalink/links?ID=ivo%3A%2F%2Forg.rubinobs%2Flsst-dp2%3Frepo%3Ddp2%26id%3D019ed8bf-fc67-7a99-9835-59da0eb9b2a9,application/x-votable+xml;content=datalink,,3300,3300,,,,,,,6.936e-07,8.188e-07,,i,phot.flux.density,,LSSTCam,,,5063,64,i,,deep_coadd - i - tract=5063 patch=64,53.18127892897513,-27.27060460170781,0.25926915504033266,POLYGON ICRS 53.078143 -27.362300 53.284571 -27.362162 53.284243 -27.178834 53.078159 -27.178970
image,lsst.deep_coadd,Rubin:Simonyi,3,,lsst_cells_v2-5063-65,LSST.DP2,ivo://org.rubinobs/usdac/lsst-dp2?repo=dp2&id=019ed8bf-66ba-7318-898d-49423c7912b9,https://data.lsst.cloud/api/datalink/links?ID=ivo%3A%2F%2Forg.rubinobs%2Flsst-dp2%3Frepo%3Ddp2%26id%3D019ed8bf-66ba-7318-898d-49423c7912b9,application/x-votable+xml;content=datalink,,3300,3300,,,,,,,6.936e-07,8.188e-07,,i,phot.flux.density,,LSSTCam,,,5063,65,i,,deep_coadd - i - tract=5063 patch=65,52.99377377679408,-27.270604560054927,0.2592691549105357,POLYGON ICRS 52.890482 -27.362162 53.096909 -27.362300 53.096894 -27.178970 52.890810 -27.178834
image,lsst.deep_coadd,Rubin:Simonyi,3,,lsst_cells_v2-5063-66,LSST.DP2,ivo://org.rubinobs/usdac/lsst-dp2?repo=dp2&id=019ed8bf-3a2a-7b3f-bacf-3c69b045c1e7,https://data.lsst.cloud/api/datalink/links?ID=ivo%3A%2F%2Forg.rubinobs%2Flsst-dp2%3Frepo%3Ddp2%26id%3D019ed8bf-3a2a-7b3f-bacf-3c69b045c1e7,application/x-votable+xml;content=datalink,,3300,3300,,,,,,,6.936e-07,8.188e-07,,i,phot.flux.density,,LSSTCam,,,5063,66,i,,deep_coadd - i - tract=5063 patch=66,52.80627063337496,-27.270354612748037,0.2592671070342443,POLYGON ICRS 52.702825 -27.361773 52.909248 -27.362187 52.909544 -27.178858 52.703464 -27.178448
